,Date,Closing Price,High after 1 day,High after 2 days,High after 3 days,High after 4 days,High after 5 days,High after 6 days,High after 7 days,High after 8 days,High after 9 days,High after 10 days,High after 15 days,High after 20 days,High after 25 days,High after 30 days,Up after day 1,Up after day 2,Up after day 3,Up after day 4,Up after day 5,Up after day 6,Up after day 7,Up after day 8,Up after day 9,Up after day 10,Up after day 15,Up after day 20,Up after day 25,Up after day 30,% change after day 1,% change after day 2,% change after day 3,% change after day 4,% change after day 5,% change after day 6,% change after day 7,% change after day 8,% change after day 9,% change after day 10,% change after day 15,% change after day 20,% change after day 25,% change after day 30
0,2019-03-25,448.7000122,430.2000122,447.5,426.6000061,400.3999939,387.7999878,383.8999939,389.6000061,385.7000122,372.7000122,369.7000122,343,310.6000061,318.6000061,318.6000061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.12%,-0.27%,-4.93%,-10.76%,-13.57%,-14.44%,-13.17%,-14.04%,-16.94%,-17.61%,-23.56%,-30.78%,-28.99%,-28.99%
1,2019-03-25,128.9600067,124.9199982,128.4400024,124.3600006,119.2399979,116.7200012,115.9199982,117.1399994,116.2399979,113.6800003,113.1200027,107.8399963,100.9599991,102.8000031,102.8000031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.13%,-0.40%,-3.57%,-7.54%,-9.49%,-10.11%,-9.17%,-9.86%,-11.85%,-12.28%,-16.38%,-21.71%,-20.29%,-20.29%
2,2019-03-25,32.06999969,32.49000168,32.22999954,32.33000183,32.88000107,33.45999908,33.5,34.20999908,34.19400024,34.54999924,34.63000107,34.29999924,33.27600098,33.25999832,33.25999832,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.31%,0.50%,0.81%,2.53%,4.33%,4.46%,6.67%,6.62%,7.73%,7.98%,6.95%,3.76%,3.71%,3.71%
3,2019-03-25,21.20000076,21.31999969,21.04999924,20.88999939,20.97999954,21.04000092,21.17000008,21.20999908,21.04999924,21.20000076,21.40999985,21.5,21.98999977,21.78000069,21.78000069,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0.57%,-0.71%,-1.46%,-1.04%,-0.75%,-0.14%,0.05%,-0.71%,0.00%,0.99%,1.42%,3.73%,2.74%,2.74%
4,2019-03-25,35.15000153,35.31000137,36.20999908,36.04000092,35.86000061,35.56000137,35.47000122,36.02000046,36.52999878,37.06000137,37.13000107,37.70999908,38.63000107,38.77000046,38.77000046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.46%,3.02%,2.53%,2.02%,1.17%,0.91%,2.48%,3.93%,5.43%,5.63%,7.28%,9.90%,10.30%,10.30%
5,2019-03-25,58,58.54999924,58.58000183,58.54000092,58.83000183,59.11000061,59.09999847,59.13999939,59.09000015,59.22999954,59.22000122,59.54000092,59.36999893,59.54000092,59.54000092,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95%,1.00%,0.93%,1.43%,1.91%,1.90%,1.97%,1.88%,2.12%,2.10%,2.66%,2.36%,2.66%,2.66%
6,2019-03-25,60.27999878,60.83000183,60.84999847,60.59000015,60.79999924,61.56000137,61.61000061,62.20999908,61.97000122,62.06000137,62.08000183,62.38999939,62.54000092,62.25,62.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.91%,0.95%,0.51%,0.86%,2.12%,2.21%,3.20%,2.80%,2.95%,2.99%,3.50%,3.75%,3.27%,3.27%
7,2019-03-25,34.59999847,35.09999847,34.83000183,35.16999817,35.40000153,35.66999817,35.90000153,35.93999863,35.63999939,35.81000137,35.36000061,35.58000183,35.13999939,35.34000015,35.34000015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.45%,0.66%,1.65%,2.31%,3.09%,3.76%,3.87%,3.01%,3.50%,2.20%,2.83%,1.56%,2.14%,2.14%
8,2019-03-25,105.5999985,102.6800003,105.5599976,102.1200027,97.95999908,95.91999817,95.27999878,96.27999878,95.59999847,93.40000153,92.95999908,88.63999939,82.91999817,84.40000153,84.40000153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.77%,-0.04%,-3.30%,-7.23%,-9.17%,-9.77%,-8.83%,-9.47%,-11.55%,-11.97%,-16.06%,-21.48%,-20.08%,-20.08%
9,2019-03-25,208.4499969,211.3300018,210.1900024,208.8800049,210.8500061,213.9400024,214.0599976,215.9799957,215.4100037,212.4100037,212.4900055,216.4499969,217.5800018,218.5599976,218.5599976,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.38%,0.83%,0.21%,1.15%,2.63%,2.69%,3.61%,3.34%,1.90%,1.94%,3.84%,4.38%,4.85%,4.85%
10,2019-03-25,38.36000061,38.58000183,38.68999863,38.45000076,38.65000153,39.11999893,39.25999832,39.75,39.70000076,39.77999878,39.84000015,40.20999908,40.40999985,40.24000168,40.24000168,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.57%,0.86%,0.23%,0.76%,1.98%,2.35%,3.62%,3.49%,3.70%,3.86%,4.82%,5.34%,4.90%,4.90%
11,2019-03-25,42.72000122,42.91999817,42.54000092,42.83000183,43.29000092,44.25999832,44.20999908,44.13000107,44.27000046,44.59000015,44.56999969,44.59999847,43.86999893,43.65999985,43.65999985,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.47%,-0.42%,0.26%,1.33%,3.60%,3.49%,3.30%,3.63%,4.38%,4.33%,4.40%,2.69%,2.20%,2.20%
12,2019-03-25,15.22000027,15.43000031,15.39999962,15.54899979,15.71500015,15.98700047,15.98499966,16.12000084,16.16900063,16.25,16.27499962,16.31999969,16.60000038,16.67000008,16.67000008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.38%,1.18%,2.16%,3.25%,5.04%,5.03%,5.91%,6.24%,6.77%,6.93%,7.23%,9.07%,9.53%,9.53%
13,2019-03-25,111.0299988,112.1200027,111.9599991,111.6900024,112.2300034,112.9800034,112.75,112.75,112.4700012,112.6600037,112.6399994,113.0999985,112.6500015,113.0100021,113.0100021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98%,0.84%,0.59%,1.08%,1.76%,1.55%,1.55%,1.30%,1.47%,1.45%,1.86%,1.46%,1.78%,1.78%
14,2019-03-25,78.69999695,79.66999817,79.61000061,79.45999908,79.94999695,81.29000092,81.18000031,81.72000122,81.90000153,82.33000183,82.37000275,82.54000092,83.34999847,83.12000275,83.12000275,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.23%,1.16%,0.97%,1.59%,3.29%,3.15%,3.84%,4.07%,4.61%,4.66%,4.88%,5.91%,5.62%,5.62%
15,2019-03-25,50.02000046,51.54000092,51.61999893,51.63000107,52.41999817,52.88999939,53,53.36999893,53.13999939,53.52000046,53.70000076,55.61000061,56.63999939,56.45000076,56.45000076,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.04%,3.20%,3.22%,4.80%,5.74%,5.96%,6.70%,6.24%,7.00%,7.36%,11.18%,13.23%,12.85%,12.85%
16,2019-03-25,33.47000122,34.04000092,33.69499969,33.93000031,34.11000061,34.88000107,35.03900146,35.77999878,35.38999939,35.70000076,35.70000076,35.40000153,35.61399841,35.77000046,35.77000046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.70%,0.67%,1.37%,1.91%,4.21%,4.69%,6.90%,5.74%,6.66%,6.66%,5.77%,6.41%,6.87%,6.87%
17,2019-03-25,48.74000168,49.11999893,49.13000107,48.81000137,48.95000076,49.63000107,49.74000168,50.24000168,50.09000015,50.18000031,50.18000031,50.40000153,50.41999817,49.93000031,49.93000031,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.78%,0.80%,0.14%,0.43%,1.83%,2.05%,3.08%,2.77%,2.95%,2.95%,3.41%,3.45%,2.44%,2.44%
18,2019-03-25,95.25,95.22000122,94.75,94.70999908,95.5,96.83000183,97.48000336,97.30000305,96.33000183,96.12000275,96.48000336,98.33999634,102,101.6200027,101.6200027,0,0,0,1,1,1,1,1,1,1,1,1,1,1,-0.03%,-0.52%,-0.57%,0.26%,1.66%,2.34%,2.15%,1.13%,0.91%,1.29%,3.24%,7.09%,6.69%,6.69%
19,2019-04-22,24.99500084,25.20999908,25.23500061,25.23500061,25.23500061,25.23500061,25.23500061,25.23500061,25.23500061,25.23500061,25.23500061,25.23500061,25.23500061,25.23500061,25.23500061,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.86%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%
20,2019-03-25,87.08999634,88.19000244,88.11000061,88.08999634,88.59999847,89.55000305,89.63999939,90.12000275,90.01999664,90.33000183,90.43000031,91.33000183,92.04000092,92.16000366,92.16000366,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.26%,1.17%,1.15%,1.73%,2.82%,2.93%,3.48%,3.36%,3.72%,3.84%,4.87%,5.68%,5.82%,5.82%
