Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
UVXY,3574995,200,16.21,800,16.16,16.16,3522794,52201
VXX,3307234,3000,21.32,3000,21.17,21.16,3231142,76092
ARKG,2002864,50,66.00,3,65.05,65.18,1990452,12412
RSX,1494381,6,30.29,1,28.00,28.36,1481386,12995
ITB,1197728,1000,79.36,2,75.00,78.34,1189862,7866
USMV,735909,40,79.00,15,76.95,77.62,728517,7392
IEFA,626745,0,0.00,12,70.00,75.77,619737,7008
INDA,446827,40,50.88,80,48.56,48.60,441230,5597
VIXY,412385,39,17.38,2238,17.31,17.32,397467,14918
IGV,411925,105,444.00,2,426.00,426.95,401752,10173
EZU,410777,590,52.18,1,49.55,49.63,398789,11988
ECH,340299,10,29.60,15,24.50,28.50,338831,1468
PAVE,320530,30,29.25,310,28.80,28.93,316808,3722
MTUM,301286,1,190.93,20,186.00,187.89,298802,2484
VLUE,263117,2,115.00,2,100.00,106.36,259140,3977
SVXY,221904,200,61.62,11,61.52,61.62,210910,10994
ARKQ,172958,10,85.80,12,82.00,83.83,171248,1710
EFV,161526,261,52.35,8,50.21,51.04,158193,3333
CBOE,148616,1,135.00,7,124.93,126.73,148484,132
RYLD,135034,30,25.54,33,25.35,25.40,130838,4196
QUAL,122831,1,158.00,10,144.00,144.25,119903,2928
JPST,120354,2200,50.58,1400,50.56,50.58,120354,0
GOVT,120021,1,28.49,0,0.00,26.34,118856,1165
ESGV,98175,0,0.00,1,86.80,87.20,95562,2613
HYD,92470,1,63.53,1,60.81,62.29,90595,1875
USHY,85632,4,41.68,6,40.79,40.90,85632,0
REM,78487,192,38.00,35,36.35,36.84,72046,6441
EFAV,74903,0,0.00,2,76.38,76.74,73987,916
MOAT,60101,0,0.00,70,71.00,76.28,58882,1219
ARKX,56697,3,20.20,2,19.95,20.19,56152,545
BBJP,55972,0,0.00,100,14.20,58.00,53750,2222
BBEU,52086,0,0.00,0,0.00,59.21,46765,5321
FLOT,50656,1613,50.75,76,50.72,50.75,50656,0
IDV,49810,20,32.00,500,30.50,30.61,46235,3575
EFG,45958,120,113.02,1,109.00,111.20,43656,2302
VUSB,44414,100,50.04,0,0.00,50.02,39125,5289
XBTF,43536,0,0.00,5,53.34,55.88,30440,13096
NOBL,41716,1,97.75,1,95.55,96.03,41416,300
ICVT,41681,67,104.65,403,99.37,99.69,40981,700
IYZ,35458,0,0.00,1,30.85,31.63,31556,3902
PICK,34633,1,42.99,51,41.00,41.59,34533,100
VNM,34139,4,21.51,89,20.27,20.27,32903,1236
PMAY,30052,0,0.00,0,0.00,30.33,30052,0
BBAX,29237,5,57.67,0,0.00,55.39,24689,4548
FNOV,28917,0,0.00,0,0.00,38.49,24958,3959
PTLC,28912,0,0.00,4,38.00,41.12,28912,0
CNYA,28093,100,48.00,1,40.25,43.69,27393,700
BBCA,27889,0,0.00,5,62.00,67.62,27624,265
IVAL,27579,0,0.00,2,26.55,26.72,17579,10000
IGE,26819,138,38.17,190,25.58,31.39,26101,718
VSGX,26803,2,65.45,5,62.00,63.14,26773,30
PRNT,25702,91,36.00,17,35.40,36.00,25521,181
ACWV,25043,30,120.00,1,106.29,106.44,24618,425
ICSH,24300,200,50.44,1700,50.41,50.42,24300,0
NEAR,22726,200,50.03,308,50.00,50.01,22726,0
IFRA,21995,1,38.90,228,37.00,37.64,19884,2111
SMIN,21908,57,60.16,4,59.51,59.79,21908,0
ITM,20203,4,51.39,50,36.95,51.20,20203,0
HYDB,20196,101,52.00,3,51.09,51.28,19696,500
ITA,18513,1,105.51,1,104.01,104.55,17903,610
COWZ,17861,16,47.97,100,45.55,47.97,17861,0
OILK,16539,200,55.10,2,54.01,54.86,16539,0
GTIP,16194,0,0.00,13,57.11,58.49,15693,501
FGRO,16085,0,0.00,0,0.00,21.50,16085,0
ICF,15991,0,0.00,150,69.00,70.59,15591,400
SLVP,15816,100,16.00,35,13.93,13.94,15816,0
FDG,14866,300,90.00,1,84.00,85.95,14666,200
JMST,14834,0,0.00,1,47.87,51.01,14834,0
IEO,14531,2400,62.66,2500,60.16,61.48,14531,0
BUFD,14379,0,0.00,0,0.00,21.18,14379,0
FRDM,14100,0,0.00,4,32.79,33.63,13500,600
EEMV,14074,302,70.00,2,62.90,63.28,13762,312
HSRT,14004,0,0.00,100,37.00,40.73,14004,0
FLDR,13808,0,0.00,0,0.00,50.70,11708,2100
IYT,12994,50,276.00,2,273.60,275.09,12971,23
IAGG,12417,2,56.00,0,0.00,55.15,11714,703
BBUS,12387,0,0.00,1,78.17,85.42,11987,400
HEFA,12385,0,0.00,0,0.00,35.93,12385,0
VOTE,11945,100,80.00,10,54.54,55.28,11945,0
XJH,11114,0,0.00,0,0.00,39.46,11114,0
FSEP,11068,0,0.00,0,0.00,35.58,11068,0
DNOV,10338,0,0.00,0,0.00,35.03,10338,0
FPRO,10201,0,0.00,0,0.00,25.44,10201,0
FCTR,10128,0,0.00,20,35.10,35.80,10128,0
OGIG,9775,50,57.05,36,53.66,54.19,9070,705
TAIL,9762,10,18.85,10,17.80,17.90,9762,0
ENOR,9660,0,0.00,0,0.00,29.65,8184,1476
OMFL,9191,3,52.00,4,46.00,50.20,9174,17
PAPR,9164,0,0.00,0,0.00,29.19,9164,0
FBCG,9111,30,37.17,29,35.00,35.86,9111,0
IZRL,8904,1,31.85,20,29.00,29.89,8848,56
NUSC,8761,0,0.00,0,0.00,46.20,8761,0
GSEW,8735,0,0.00,100,59.71,71.20,8734,1
ESML,8673,0,0.00,1,1.55,41.42,8673,0
IGHG,8433,0,0.00,0,0.00,74.86,6668,1765
FLV,8317,0,0.00,0,0.00,60.95,7417,900
QSPT,8200,0,0.00,0,0.00,20.80,8200,0
FMAG,7936,0,0.00,0,0.00,25.26,7635,301
FCLD,7910,0,0.00,3,25.35,25.93,7610,300
FPFD,7642,0,0.00,0,0.00,24.99,7218,424
DRSK,7456,0,0.00,0,0.00,29.02,7456,0
BBIN,7452,0,0.00,0,0.00,60.12,7452,0
BUFT,7420,0,0.00,0,0.00,20.11,7420,0
PSMC,7358,0,0.00,0,0.00,13.96,7358,0
FRNW,7158,0,0.00,100,26.77,27.50,6642,516
KNG,7081,0,0.00,25,42.00,56.04,7081,0
CALF,6999,0,0.00,12,41.50,46.68,6999,0
FCPI,6886,0,0.00,0,0.00,33.13,6886,0
EMHY,6665,45,45.44,10,35.00,43.08,6264,401
KOCT,6632,0,0.00,0,0.00,27.84,6632,0
FBCV,6516,0,0.00,0,0.00,29.20,6516,0
DIVB,6497,0,0.00,10,38.51,41.73,6497,0
PAWZ,6456,10,83.87,1,76.00,79.35,6456,0
BUFG,6437,0,0.00,0,0.00,20.24,6437,0
TOKE,6374,50,14.24,50,12.92,13.17,5958,416
MLN,6216,0,0.00,0,0.00,21.64,6216,0
GCOW,5817,330,30.80,0,0.00,30.18,5817,0
LQDI,5814,280,31.33,25,29.19,30.58,5164,650
TMFC,5556,200,45.98,4,43.00,44.09,4856,700
GHYG,5552,0,0.00,0,0.00,49.14,5093,459
EMGF,5530,1000,53.01,0,0.00,51.31,5530,0
EDEN,5529,0,0.00,0,0.00,110.30,5529,0
XSHQ,5226,0,0.00,125,40.30,40.57,5226,0
FDHT,5167,0,0.00,0,0.00,26.09,3244,1923
SMMD,5058,0,0.00,200,49.46,67.84,5058,0
BUYZ,5035,250,52.65,1,36.40,48.09,5035,0
GVI,5003,0,0.00,0,0.00,113.66,5003,0
FDRV,4988,2,29.73,0,0.00,29.53,4788,200
NULV,4942,0,0.00,0,0.00,39.49,4669,273
XJR,4837,0,0.00,0,0.00,42.00,4837,0
NULG,4734,0,0.00,20,67.25,72.84,4734,0
NURE,4701,2,39.40,5,36.00,37.97,4671,30
REGL,4656,0,0.00,20,57.24,73.61,4656,0
MSTB,4603,0,0.00,0,0.00,32.58,4603,0
SMB,4582,0,0.00,1100,8.16,17.88,4582,0
PNOV,4526,0,0.00,0,0.00,30.72,4526,0
CEMB,4514,10,51.66,0,0.00,51.07,4514,0
IQDG,4414,0,0.00,0,0.00,39.47,3414,1000
UAPR,4325,0,0.00,0,0.00,26.11,4325,0
PBUS,4318,0,0.00,2035,47.50,47.62,4318,0
PBND,4140,0,0.00,0,0.00,25.60,4140,0
BBRE,4117,1,118.00,2,99.00,105.29,4117,0
EPRF,4108,0,0.00,10,23.60,23.69,4108,0
QDEC,4058,0,0.00,0,0.00,23.03,4058,0
FJUL,4021,0,0.00,0,0.00,36.20,4021,0
XBOC,3997,0,0.00,0,0.00,25.02,3997,0
LVHI,3971,500,29.95,0,0.00,26.13,3971,0
VFQY,3951,0,0.00,0,0.00,127.82,3951,0
MDEV,3937,0,0.00,0,0.00,25.89,3937,0
NUEM,3757,5,36.00,15,33.00,34.02,3757,0
DAUG,3753,0,0.00,0,0.00,35.04,3753,0
BOSS,3656,10,38.00,0,0.00,35.82,3656,0
BOB,3565,0,0.00,0,0.00,27.80,2930,635
IEHS,3526,0,0.00,150,43.10,43.15,3426,100
SATO,3449,0,0.00,0,0.00,28.52,3449,0
GOAT,3405,0,0.00,0,0.00,39.52,2209,1196
OUSA,3364,7,46.80,2,40.93,44.66,3364,0
VIXM,3277,50,35.00,100,27.77,30.99,3277,0
JCPB,3199,0,0.00,100,50.00,54.24,3199,0
DUSA,3167,10,37.00,10,34.00,35.34,3167,0
BAPR,3093,0,0.00,0,0.00,32.97,3093,0
CEFS,2999,18,21.91,1,20.59,21.71,2999,0
JPHY,2965,0,0.00,1,49.79,51.31,2865,100
SYLD,2965,0,0.00,10,51.52,66.77,2965,0
PJUL,2924,0,0.00,0,0.00,30.61,2924,0
PTMC,2912,0,0.00,0,0.00,36.87,2812,100
VCEB,2850,0,0.00,0,0.00,73.17,2850,0
NUMG,2798,0,0.00,0,0.00,57.50,2798,0
DFND,2763,0,0.00,400,38.00,41.80,2763,0
SMMV,2740,0,0.00,0,0.00,38.76,2740,0
EWUS,2702,0,0.00,200,43.60,46.47,2702,0
NOVZ,2701,0,0.00,0,0.00,33.20,2701,0
FLBL,2664,0,0.00,0,0.00,24.96,2664,0
ACIO,2645,0,0.00,0,0.00,31.90,2645,0
OMFS,2641,0,0.00,1,36.93,43.78,2641,0
SHYD,2600,25,25.41,0,0.00,25.01,2600,0
BSEP,2585,0,0.00,0,0.00,32.99,2185,400
PLTL,2579,0,0.00,0,0.00,27.21,1200,1379
IYJ,2571,3,116.00,1,108.00,110.70,2321,250
SMDV,2518,0,0.00,10,54.67,67.03,2518,0
UNOV,2501,0,0.00,700,14.05,29.38,1401,1100
FFTI,2463,0,0.00,0,0.00,23.80,1113,1350
FFSG,2459,0,0.00,0,0.00,37.96,2459,0
MAGA,2450,0,0.00,3,38.21,38.89,2450,0
