Row Labels,Sum of High after 1 day3,Sum of High after 5 days3,Sum of High after 10 days3,Sum of High after 15 days3,Sum of High after 20 days3,Sum of High after 25 days3,Sum of High after 30 days3
engulfing_bullish,3.098891606,3.601169327,2.472204242,2.543487847,3.37932255,3.674204735,3.652516391
hammer,0.974828676,1.283101914,0.876387849,1.213000161,1.620459987,1.825044882,2.271942677
inv_hammer,0.613951706,0.500305142,0.921658407,1.129241308,0.888861619,1.202299714,1.358315313
morning_star,0.308405995,0.800505004,0.678542185,0.663985101,0.868642188,1.030226884,1.379717246
piercing,0.79216455,1.063354072,1.146599265,0.946774862,1.061835171,1.247521725,1.102563306
rising_three_methods,0.041747797,0.037098474,0.123604734,0.247726726,0.25657645,0.279418381,0.273223794
three_white_soldiers,-0.000153965,-0.001693864,0.012935053,0.018632568,0.021096382,-0.006621492,-0.005081593
Grand Total,5.829836364,7.283840068,6.231931734,6.762848573,8.096794347,9.252094831,10.03319713
,,,,,,,
,,,,,,,
Row Labels,Sum of High after 1 day2,Sum of High after 5 days2,Sum of High after 10 days2,Sum of High after 15 days2,Sum of High after 20 days2,Sum of High after 25 days2,Sum of High after 30 days2
engulfing_bullish,186,150,129,122,122,128,124
hammer,53,43,39,39,39,37,43
inv_hammer,43,33,34,36,31,37,38
morning_star,16,13,16,16,14,14,13
piercing,48,37,41,38,38,37,38
rising_three_methods,9,8,9,10,10,9,9
three_white_soldiers,0,0,1,1,1,0,0
Grand Total,355,284,269,262,255,262,265
