,Name,Date,Pattern,Closing Price,High after 1 day,High after 2 days,High after 3 days,High after 4 days,High after 5 days,High after 6 days,High after 7 days,High after 8 days,High after 9 days,High after 10 days,High after 15 days,High after 20 days,High after 25 days,High after 30 days,Up/down after 1 day,Up/down after 2 day,Up/down after 3 day,Up/down after 4 day,Up/down after 5 day,Up/down after 6 day,Up/down after 7 day,Up/down after 8 day,Up/down after 9 day,Up/down after 10 day,Up/down after 15 day,Up/down after 20 day,Up/down after 25 day,Up/down after 30 day,% change after 1 days,% change after 2 days,% change after 3 days,% change after 4 days,% change after 5 days,% change after 6 days,% change after 7 days,% change after 8 days,% change after 9 days,% change after 10 days,% change after 15 days,% change after 20 days,% change after 25 days,% change after 30 days
0,Apple,2018-01-26,hammer,42.87749863,42.54000092,41.84249878,42.11000061,42.15499878,41.70000076,40.97000122,40.93000031,40.84999847,40.25,39.47249985,43.70500183,44.84749985,44.43500137,45.59749985,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-0.79%,-2.41%,-1.79%,-1.69%,-2.75%,-4.45%,-4.54%,-4.73%,-6.13%,-7.94%,1.93%,4.59%,3.63%,6.34%
1,Google,2016-06-23,hammer,714.8699951,705,683.3300171,692.7399902,699.5,703.7700195,712.5300293,708.1199951,713,710.1699829,717.9000244,741,759.4500122,803.9400024,807.2199707,0,0,0,0,0,0,0,0,0,1,1,1,1,1,-1.38%,-4.41%,-3.10%,-2.15%,-1.55%,-0.33%,-0.94%,-0.26%,-0.66%,0.42%,3.66%,6.24%,12.46%,12.92%
2,Google,2016-07-07,hammer,707.2600098,717.9000244,728.9299927,735.5999756,735.5200195,736.1400146,741,755.1400146,756.5900269,760.6400146,758.1500244,768.9699707,800.2000122,813.8800049,808,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.50%,3.06%,4.01%,4.00%,4.08%,4.77%,6.77%,6.98%,7.55%,7.20%,8.73%,13.14%,15.08%,14.24%
3,Amazon,2016-11-23,hammer,780.1199951,786.75,777,769.8900146,768.0900269,753.3699951,748.4899902,761.4899902,768.2399902,770.4199829,773.789978,769.0999756,771.210022,767.4000244,801.7700195,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.85%,-0.40%,-1.31%,-1.54%,-3.43%,-4.06%,-2.39%,-1.52%,-1.24%,-0.81%,-1.41%,-1.14%,-1.63%,2.78%
4,Amazon,2018-10-12,hammer,1788.609985,1795.050049,1823.880005,1845,1830.150024,1809.099976,1809.5,1776.339966,1777.709961,1794.810059,1698.459961,1697.439941,1743.920044,1614.47998,1584.810059,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0.36%,1.97%,3.15%,2.32%,1.15%,1.17%,-0.69%,-0.61%,0.35%,-5.04%,-5.10%,-2.50%,-9.74%,-11.39%
5,Amazon,2020-03-13,hammer,1785,1759.449951,1857.780029,1841.660034,1945,1957,1919.400024,1955,1950.26001,1956.48999,1939.790039,1926.329956,2180,2444.97998,2444.879883,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.43%,4.08%,3.17%,8.96%,9.64%,7.53%,9.52%,9.26%,9.61%,8.67%,7.92%,22.13%,36.97%,36.97%
6,Tesla,2015-08-26,hammer,44.9679985,48.95000076,50.29000092,50.99000168,49.20000076,49.57600021,50.41600037,48.81800079,49.83200073,50.84999847,50.14400101,53.09999847,52.68999863,49.70000076,46.14400101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8.86%,11.84%,13.39%,9.41%,10.25%,12.12%,8.56%,10.82%,13.08%,11.51%,18.08%,17.17%,10.52%,2.62%
7,Tesla,2017-08-28,hammer,69.13200378,69.80999756,70.69400024,71.68800354,71.51799774,71.09799957,70.19599915,70.4960022,69.95600128,72.74199677,73.7519989,76.47799683,70.2480011,69.70999908,71.12599945,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98%,2.26%,3.70%,3.45%,2.84%,1.54%,1.97%,1.19%,5.22%,6.68%,10.63%,1.61%,0.84%,2.88%
8,Microsoft,2015-10-01,hammer,44.61000061,45.56999969,46.88999939,47.18000031,47.34999847,47.52000046,47.54000092,47.06999969,47.13000107,47.09999847,47.02999878,48.95000076,53.83000183,54.70000076,53.97999954,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.15%,5.11%,5.76%,6.14%,6.52%,6.57%,5.51%,5.65%,5.58%,5.43%,9.73%,20.67%,22.62%,21.00%
9,Microsoft,2016-02-16,hammer,51.09000015,52.77000046,52.95000076,52.27999878,53,52.36999893,51.5,52.09999847,52.68000031,51.65000153,52.59000015,52.13000107,53.59000015,54.25,55.63999939,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.29%,3.64%,2.33%,3.74%,2.51%,0.80%,1.98%,3.11%,1.10%,2.94%,2.04%,4.89%,6.19%,8.91%
