Name	Date
Apple	2015-05-20
Apple	2015-07-28
Apple	2015-09-22
Apple	2015-09-20
Apple	2015-11-06
Apple	2016-02-11
Apple	2016-07-29
Apple	2016-10-12
Apple	2017-01-18
Apple	2017-02-15
Apple	2017-03-06
Apple	2017-03-16
Apple	2017-03-31
Apple	2017-04-03
Apple	2017-05-02
Apple	2017-05-04
Apple	2017-05-22
Apple	2018-04-13
Apple	2018-04-18
Apple	2018-07-31
Apple	2019-03-04
Apple	2019-06-11
Apple	2019-07-16
Apple	2019-07-30
Apple	2019-10-09
Apple	2019-11-05
Apple	2019-12-10
Apple	2020-01-29
Apple	2020-05-06
Apple	2020-07-16
Apple	2020-09-09
Apple	2021-01-19
Apple	2021-07-28
Apple	2021-08-05
Apple	2021-08-17
Apple	2021-10-25
Google	2015-04-28
Google	2015-06-03
Google	2015-07-15
Google	2015-09-16
Google	2015-11-19
Google	2016-01-15
Google	2016-02-01
Google	2016-02-22
Google	2016-04-14
Google	2016-05-31
Google	2016-06-01
Google	2016-07-05
Google	2016-07-25
Google	2016-08-19
Google	2016-09-07
Google	2016-09-20
Google	2016-09-23
Google	2016-10-12
Google	2016-12-23
Google	2017-06-22
Google	2017-07-17
Google	2017-09-21
Google	2017-10-31
Google	2018-03-15
Google	2018-05-17
Google	2018-09-26
Google	2019-03-04
Google	2019-07-29
Google	2019-09-30
Google	2019-10-24
Google	2019-11-21
Google	2020-01-10
Google	2020-06-17
Google	2020-08-17
Google	2021-01-15
Google	2021-01-22
Google	2021-02-18
Google	2021-03-23
Google	2021-10-26
Amazon	2015-01-08
Amazon	2015-02-24
Amazon	2015-03-24
Amazon	2015-04-21
Amazon	2015-05-12
Amazon	2015-11-25
Amazon	2016-04-08
Amazon	2016-06-08
Amazon	2016-06-21
Amazon	2016-06-27
Amazon	2016-06-29
Amazon	2016-07-18
Amazon	2016-09-08
Amazon	2016-10-12
Amazon	2017-01-31
Amazon	2017-05-02
Amazon	2017-05-09
Amazon	2017-07-06
Amazon	2017-08-09
Amazon	2017-08-28
Amazon	2017-11-15
Amazon	2018-01-18
Amazon	2018-04-03
