Name,Date
Apple,2015-11-15
Apple,2016-02-24
Apple,2016-06-16
Apple,2016-06-21
Apple,2020-09-21
Google,2018-02-06
Google,2019-07-09
Google,2020-02-28
Amazon,2015-01-16
Amazon,2016-02-19
Microsoft,2015-01-29
Microsoft,2018-06-28
Microsoft,2020-02-28
McDonalds,2015-01-26
McDonalds,2018-12-26
McDonalds,2020-05-14
Tim Hortons,2015-09-15
Tim Hortons,2016-10-06
Tim Hortons,2018-02-06
Tim Hortons,2018-09-06
Tim Hortons,2020-01-13
Wendys,2017-03-22
Wendys,2017-08-18
Wendys,2018-02-06
Pizza Hut,2016-05-16
Pizza Hut,2018-07-25
Pizza Hut,2019-09-23
NRG Energy Inc,2015-09-10
NRG Energy Inc,2019-05-31
NRG Energy Inc,2019-11-20
NRG Energy Inc,2020-08-06
Exxon Mobil Corporation,2015-01-26
Exxon Mobil Corporation,2015-09-24
Exxon Mobil Corporation,2017-01-11
Exxon Mobil Corporation,2017-05-01
Exxon Mobil Corporation,2018-11-15
Exxon Mobil Corporation,2019-10-03
Exxon Mobil Corporation,2020-01-09
Exxon Mobil Corporation,2020-01-30
Exxon Mobil Corporation,2020-02-28
Exxon Mobil Corporation,2020-07-10
Exxon Mobil Corporation,2021-04-21
Sunpower Corporation,2018-06-18
Sunpower Corporation,2021-02-23
Suncor,2015-09-24
Suncor,2017-12-07
Suncor,2020-10-02
Pfizer Inc,2016-04-01
Pfizer Inc,2016-09-07
Pfizer Inc,2016-10-25
Pfizer Inc,2017-07-27
Pfizer Inc,2019-01-17
Pfizer Inc,2021-03-12
AbbVie Inc,2015-03-04
AbbVie Inc,2016-01-20
AbbVie Inc,2018-11-01
Merck and Co Inc,2017-05-10
Merck and Co Inc,2017-08-16
Novartis,2016-03-16
Novartis,2017-04-17
Novartis,2018-06-06
Novartis,2018-10-25
Novartis,2021-10-01
Johnson & Johnson,2016-10-17
Johnson & Johnson,2019-01-17
