,Name,Date,Pattern,Closing Price,High after 1 day,High after 2 days,High after 3 days,High after 4 days,High after 5 days,High after 6 days,High after 7 days,High after 8 days,High after 9 days,High after 10 days,High after 15 days,High after 20 days,High after 25 days,High after 30 days
0,Amazon,2015-04-24,rising_three_methods,445.1000061035156,446.989990234375,439.0,434.239990234375,431.75,425.6400146484375,429.7699890136719,427.510009765625,422.7200012207031,428.5,435.20001220703125,430.3999938964844,432.44000244140625,433.1600036621094,426.79998779296875
1,Amazon,2017-11-03,rising_three_methods,1111.5999755859375,1125.4100341796875,1130.5999755859375,1135.5400390625,1129.6199951171875,1131.75,1139.9000244140625,1138.0,1131.75,1138.1600341796875,1138.800048828125,1213.4100341796875,1175.199951171875,1169.9000244140625,1194.780029296875
2,Microsoft,2021-10-27,rising_three_methods,323.1700134277344,324.8699951171875,324.8699951171875,324.8699951171875,324.8699951171875,324.8699951171875,324.8699951171875,324.8699951171875,324.8699951171875,324.8699951171875,324.8699951171875,324.8699951171875,324.8699951171875,324.8699951171875,324.8699951171875
3,McDonalds,2017-01-12,rising_three_methods,122.0999984741211,122.23999786376953,122.80000305175781,123.0,123.0,122.94999694824219,122.08000183105469,122.05999755859375,121.91999816894531,122.37999725341797,122.98999786376953,124.51000213623047,126.11000061035156,127.87999725341797,127.75
4,McDonalds,2017-05-31,rising_three_methods,150.88999938964844,152.38999938964844,153.89999389648438,153.66000366210938,152.58999633789062,152.00999450683594,152.14999389648438,152.0,151.47999572753906,150.25,151.0800018310547,154.4199981689453,154.67999267578125,153.4600067138672,156.5399932861328
5,Tim Hortons,2018-06-18,rising_three_methods,60.970001220703125,61.06999969482422,61.29999923706055,61.439998626708984,60.83000183105469,60.619998931884766,60.16999816894531,59.86000061035156,59.56999969482422,60.34000015258789,60.630001068115234,61.88999938964844,64.54000091552734,65.11000061035156,63.38999938964844
6,Tim Hortons,2020-07-06,rising_three_methods,56.529998779296875,56.0,55.5,55.2599983215332,55.099998474121094,56.435001373291016,55.7400016784668,58.15999984741211,58.15999984741211,58.08000183105469,57.7400016784668,56.959999084472656,56.720001220703125,55.630001068115234,54.83000183105469
7,Pizza Hut,2017-07-27,rising_three_methods,75.61000061035156,75.5,75.68000030517578,76.31999969482422,76.62000274658203,76.47000122070312,75.06999969482422,75.04000091552734,74.87000274658203,75.11000061035156,75.75,76.83999633789062,76.58000183105469,76.93000030517578,77.08999633789062
8,Pizza Hut,2019-01-10,rising_three_methods,91.79000091552734,90.94999694824219,90.48999786376953,90.54000091552734,90.69000244140625,91.05000305175781,92.73999786376953,93.25,93.54000091552734,93.2300033569336,93.83999633789062,95.44999694824219,94.66999816894531,95.0,95.69999694824219
9,Exxon Mobil Corporation,2016-04-12,rising_three_methods,84.3499984741211,84.91000366210938,85.9000015258789,85.66000366210938,85.86000061035156,86.30999755859375,87.44000244140625,87.83999633789062,87.63999938964844,87.4000015258789,87.94000244140625,88.62999725341797,90.0,89.91000366210938,90.4000015258789
10,Pfizer Inc,2017-11-28,rising_three_methods,34.013282775878906,34.544593811035156,34.61100769042969,34.629981994628906,34.743831634521484,34.33586120605469,34.041744232177734,33.81404113769531,33.937381744384766,34.402278900146484,34.93358612060547,35.32258224487305,34.5920295715332,35.02846145629883,34.819732666015625
11,Johnson & Johnson,2015-05-14,rising_three_methods,101.83000183105469,102.31999969482422,104.33999633789062,104.12000274658203,104.4800033569336,103.30000305175781,102.41000366210938,101.55000305175781,101.41000366210938,101.69999694824219,101.62000274658203,99.05000305175781,99.2300033569336,100.19999694824219,100.12999725341797
